book_index_id,author
1,Suzanne Collins
2,J.K. Rowling
2,Mary GrandPré (Illustrator)
3,Harper Lee
4,Jane Austen
4,Anna Quindlen (Introduction)
5,Stephenie Meyer
6,Markus Zusak (Goodreads Author)
7,George Orwell
7,Russell Baker (Preface)
7,C.M. Woodhouse (Introduction)
8,C.S. Lewis
8,Pauline Baynes (Illustrator)
9,J.R.R. Tolkien
10,Margaret Mitchell
11,John Green (Goodreads Author)
12,Douglas Adams
13,Shel Silverstein
14,Emily Brontë
14,Richard J. Dunn (Editor)
14,David Timson (Narrator)
14,Charlotte Brontë (Commentary)
14,Robert Heindel (Illustrator)
15,Dan Brown (Goodreads Author)
16,Arthur Golden
17,Oscar Wilde
17,Jeffrey Eugenides (Introduction)
18,Lewis Carroll
18,John Tenniel (Illustrator)
18,Martin Gardner (Introduction)
19,Charlotte Brontë
19,Michael Mason (Editor)
19,Barnett Freedman (Illustrator)
20,Victor Hugo
20,Lee Fahnestock (Translator)
20,Norman MacAfee (Translator)
21,Ray Bradbury
22,Veronica Roth (Goodreads Author)
23,William Golding
24,William Shakespeare
24,Paul Werstine (Editor)
24,Barbara A. Mowat (Editor)
24,Paavo Emil Cajander (Translator)
25,Paulo Coelho (Goodreads Author)
25,Alan R. Clarke (Translator)
25,James Noel Smith (Illustrator)
26,Fyodor Dostoyevsky
26,David McDuff (Translator)
27,Stephen Chbosky
28,F. Scott Fitzgerald
28,Francis Scott Fitzgerald
29,Cassandra Clare (Goodreads Author)
30,Orson Scott Card
30,Stefan Rudnicki (Narrator)
30,Harlan Ellison (Narrator)
31,Kathryn Stockett (Goodreads Author)
32,L.M. Montgomery
33,J.K. Rowling
33,Mary GrandPré (Illustrator)
34,Antoine de Saint-Exupéry
34,Richard Howard (Translator)
34,Ivan Minatti (Translator)
34,Nguyễn Thành Vũ (Illustrator)
35,E.B. White
35,Garth Williams (Illustrator)
35,Rosemary Wells (Illustrations)
36,John Steinbeck
37,Audrey Niffenegger (Goodreads Author)
38,Bram Stoker
38,Nina Auerbach (Editor)
38,David J. Skal (Editor)
39,Aldous Huxley
40,Gabriel García Márquez
40,Gregory Rabassa (Translator)
41,J.D. Salinger
42,William Goldman
43,Rick Riordan (Goodreads Author)
44,Frances Hodgson Burnett
45,Khaled Hosseini (Goodreads Author)
46,Madeleine L'Engle
47,George R.R. Martin
48,Mark Twain
48,Guy Cardwell (Notes)
48,John Seelye (Introduction)
48,Walter Trier (Ilustrator)
49,Alice Sebold
50,S.E. Hinton (Goodreads Author)
51,Maurice Sendak
52,Dr. Seuss
53,Homer
53,Robert Fagles (Translator)
53,Bernard Knox (Introduction)
54,Yann Martel
55,Charles Dickens
55,Richard Maxwell (Editor/Introduction)
56,Sara Gruen (Goodreads Author)
57,Vladimir Nabokov
57,Craig Raine (Afterword)
58,Kurt Vonnegut Jr.
59,Mary Wollstonecraft Shelley
59,Charlotte Gordon (Goodreads Author) (Introduction)
60,Khaled Hosseini (Goodreads Author)
60,Berliani M. Nugrahani (Translator)
61,Margaret Atwood (Goodreads Author)
62,Lois Lowry (Goodreads Author)
63,Joseph Heller
64,Frank Herbert
65,Ken Follett (Goodreads Author)
66,Stephen King (Goodreads Author)
